Test ID,Timestamp,Environment,Keyword,Status,Pass Percentage (%),Matched/Total,Status Color,Response Time (ms),HTTP Status Code,Error Message,Test Duration (s)
TST_001,2025-11-06T03:38:45.382Z,prod-api,refrigerator (Refrigerator),PASS,10000.00%,100/100,#C8E6C9,1217,200,,1.25
TST_002,2025-11-06T03:38:46.775Z,prod-api,whirlpool refrigerator (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,635,200,,0.66
TST_003,2025-11-06T03:38:47.978Z,prod-api,samsung refrigerator (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,545,200,,0.56
TST_004,2025-11-06T03:38:49.408Z,prod-api,refrigerator sale (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,776,200,,0.79
TST_005,2025-11-06T03:38:50.601Z,prod-api,frigidaire refrigerator (Refrigerator),PASS,10000.00%,5/5,#C8E6C9,571,200,,0.59
TST_006,2025-11-06T03:38:52.290Z,prod-api,lg refrigerator (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,1067,200,,1.07
TST_007,2025-11-06T03:38:53.572Z,prod-api,counter depth refrigerator (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,651,200,,0.67
TST_008,2025-11-06T03:38:54.913Z,prod-api,ge refrigerator (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,675,200,,0.69
TST_009,2025-11-06T03:38:56.684Z,prod-api,lg refrigerators (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,1141,200,,1.15
TST_010,2025-11-06T03:38:58.539Z,prod-api,kitchenaid refrigerator (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,1209,200,,1.23
TST_011,2025-11-06T03:38:59.778Z,prod-api,mini refrigerator (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,594,200,,0.61
TST_012,2025-11-06T03:39:00.652Z,prod-api,refrigerators (Refrigerator),PASS,10000.00%,100/100,#C8E6C9,236,200,,0.26
TST_013,2025-11-06T03:39:01.982Z,prod-api,small refrigerator (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,667,200,,0.68
TST_014,2025-11-06T03:39:03.367Z,prod-api,bosch refrigerator (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,747,200,,0.76
TST_015,2025-11-06T03:39:04.851Z,prod-api,french door refrigerator (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,836,200,,0.85
TST_016,2025-11-06T03:39:06.540Z,prod-api,lowes refrigerators (Refrigerator),PASS,10000.00%,6/6,#C8E6C9,1061,200,,1.07
TST_017,2025-11-06T03:39:07.932Z,prod-api,refrigerators for sale (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,718,200,,0.73
TST_018,2025-11-06T03:39:09.850Z,prod-api,shop refrigerator deals (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,1217,200,,1.23
TST_019,2025-11-06T03:39:11.518Z,prod-api,subzero refrigerator (Refrigerator),REVIEW,N/A,0/0,#FFE0B2,957,200,No results returned; requires manual review.,0.97
TST_020,2025-11-06T03:39:13.204Z,prod-api,ge profile refrigerator (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,990,200,,1
TST_021,2025-11-06T03:39:14.123Z,prod-api,refrigerador (Refrigerator),PASS,10000.00%,100/100,#C8E6C9,181,200,,0.2
TST_022,2025-11-06T03:39:15.503Z,prod-api,whirlpool refrigerator water filter (Refrigerator),PASS,10000.00%,9/9,#C8E6C9,649,200,,0.66
TST_023,2025-11-06T03:39:17.306Z,prod-api,commercial refrigerator (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,1080,200,,1.1
TST_024,2025-11-06T03:39:19.048Z,prod-api,frigidaire refrigerator parts (Refrigerator),REVIEW,N/A,0/0,#FFE0B2,1049,200,No results returned; requires manual review.,1.06
TST_025,2025-11-06T03:39:20.538Z,prod-api,maytag refrigerator (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,798,200,,0.81
TST_026,2025-11-06T03:39:21.910Z,prod-api,side by side refrigerator (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,588,200,,0.61
TST_027,2025-11-06T03:39:23.308Z,prod-api,sub zero refrigerator (Refrigerator),REVIEW,N/A,0/0,#FFE0B2,609,200,No results returned; requires manual review.,0.62
TST_028,2025-11-06T03:39:25.146Z,prod-api,whirlpool refrigerators (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,1142,200,,1.16
TST_029,2025-11-06T03:39:27.222Z,prod-api,cafe refrigerator (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,1263,200,,1.27
TST_030,2025-11-06T03:39:28.605Z,prod-api,frigidaire gallery refrigerator (Refrigerator),PASS,10000.00%,5/5,#C8E6C9,609,200,,0.62
TST_031,2025-11-06T03:39:30.267Z,prod-api,frigidaire refrigerators (Refrigerator),PASS,10000.00%,5/5,#C8E6C9,937,200,,0.95
TST_032,2025-11-06T03:39:31.847Z,prod-api,garage ready refrigerator (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,737,200,,0.74
TST_033,2025-11-06T03:39:33.596Z,prod-api,ge cafe refrigerator (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,981,200,,0.99
TST_034,2025-11-06T03:39:35.324Z,prod-api,refrigerators on sale (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,946,200,,0.96
TST_035,2025-11-06T03:39:37.363Z,prod-api,rv refrigerator (Refrigerator),PASS,10000.00%,4/4,#C8E6C9,1153,200,,1.17
TST_036,2025-11-06T03:39:38.839Z,prod-api,samsung refrigerator water filter (Refrigerator),PASS,10000.00%,2/2,#C8E6C9,635,200,,0.65
TST_037,2025-11-06T03:39:40.493Z,prod-api,whirlpool refrigerator parts (Refrigerator),PASS,10000.00%,2/2,#C8E6C9,790,200,,0.8
TST_038,2025-11-06T03:39:42.313Z,prod-api,bottom freezer refrigerator (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,934,200,,0.95
TST_039,2025-11-06T03:39:44.143Z,prod-api,comercial refrigerator (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,949,200,,0.96
TST_040,2025-11-06T03:39:46.067Z,prod-api,counter depth refrigerators (Refrigerator),PASS,10000.00%,10/10,#C8E6C9,1000,200,,1.02
