Test ID,Timestamp,Environment,Keyword,Status,Response Time (ms),HTTP Status Code,Error Message,Test Duration (s)
TST_001,2025-11-04T23:49:03.386Z,prod-api,refrigerator (Refrigerators),PASS,544,200,,0.55
TST_002,2025-11-04T23:49:05.245Z,prod-api,bosch dishwasher (Dishwashers),PASS,1330,200,,1.33
TST_001,2025-11-05T00:27:57.817Z,prod-api,refrigerator (Refrigerators),PASS,530,200,,0.54
TST_002,2025-11-05T00:27:59.104Z,prod-api,bosch dishwasher (Dishwashers),PASS,760,200,,0.77
TST_001,2025-11-05T00:28:50.508Z,prod-api,refrigerator (Refrigerators),PASS,430,200,,0.44
TST_002,2025-11-05T00:28:51.109Z,prod-api,bosch dishwasher (Dishwashers),PASS,74,200,,0.08
TST_001,2025-11-05T00:37:45.018Z,prod-api,refrigerator (Refrigerators),PASS,542,200,,0.55
TST_002,2025-11-05T00:37:46.203Z,prod-api,bosch dishwasher (Dishwashers),PASS,664,200,,0.67
TST_001,2025-11-05T00:50:50.911Z,prod-api,refrigerator (Refrigerators),PASS,566,200,,0.57
TST_002,2025-11-05T00:50:52.431Z,prod-api,bosch dishwasher (Dishwashers),PASS,999,200,,1
